;Andromeda - Taklampa;Pris 26;Nytt pris
50304-D;LED E27 2700K 380lm CRI <80;133;
;;;
;Mushroom - Bordslampa;;
38950-01-000-N;Vit RAL 9010;5435;
38950-06-000-N;Röd RAL 2002 Blod orange;6198;
50304-D;LED E27 2700K 380lm CRI <80;133;
;;;
;Oxid - Utomhuslampa · Vägglampa;;
30083F01S-000;Vit strukturlack RAL 9016;4003;
30083F15S-000;Svart strukturlack RAL 9005;4003;
30083F69-000;Rå koppar;4759;
30083F72-000;Rå mässing;5141;
;;;
;Pebble - Taklampa;;
;Hög;;
35875-02-029-N;Varmgrått glas;5543;
35875-06-069-N;Oxblodsrött glas;5543;
35875-02-019-N;Opalglas;5543;
50038-029-K;Hög glasskärm  varmgrå (reserv);3067;
50038-069-K;Hög glasskärm oxblod (reserv);3067;
50038-019-K;Hög glasskärm opalglas (reserv);3067;
;;;
;Bred;;
35876-02-029-N;Varmgrått glas;5604;
35876-06-069-N;Oxblodsrött glas;5604;
35876-02-019-N;Opalglas;5604;
50039-029-K;Bred glasskärm varmgrå (reserv);3120;
50039-069-K;Bred glasskärm oxblod (reserv);3120;
50039-019-K;Bred glasskärm opalglas (reserv);3120;
;;;
;Pin - Badrumslampa · Vägglampa;;
30121F01-019-000;Matt opalglas;3490;
50320;LED E14 2700K 806lm CRI>90;143;
50034;Opalglas (reserv);1238;
;;;
;PJ - Taklampa;;
;52;;
PJ52-01;Vit RAL 9010;4916;
PJ52-02;Varmgrå RAL 7032;4916;
PJ52-06;Oxblod RAL 8015;4916;
PJ52-13;Tallgrön RAL 6028;4916;
PJ52-15;Mattsvart RAL 7016;4916;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Bordslampa;;
PJ60-01;Vit RAL 9010;6101;
PJ60-02;Varmgrå RAL 7032;6101;
PJ60-06;Oxblod RAL 8015;6101;
PJ60-13;Tallgrön RAL 6028;6101;
PJ60-15;Mattsvart RAL 7016;6101;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Bordslampa;;
PJ65-01;Vit RAL 9010;5668;
PJ65-02;Varmgrå RAL 7032;5668;
PJ65-06;Oxblod RAL 8015;5668;
PJ65-13;Tallgrön RAL 6028;5668;
PJ65-15;Mattsvart RAL 7016;5668;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;PJ - Vägglampa;;
;Utvändig kabel;;
PJ70-01;Vit RAL 9010;5730;
PJ70-02;Varmgrå RAL 7032;5730;
PJ70-06;Oxblod RAL 8015;5730;
PJ70-13;Tallgrön RAL 6028;5730;
PJ70-15;Mattsvart RAL 7016;5730;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Fast montage;;
PJ70F01;Vit RAL 9010;6052;
PJ70F02;Varmgrå RAL 7032;6052;
